University,Short Name,Доля ППС возрастной категории моложе 40 лет,Доля ППС возрастной категории моложе 65 лет,"Доля ППС, имеющих ученые степени","Доля аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров, обучающихся в очной форме",Доля внебюджетных средств в доходах от научных исследований и разработок,Доля внебюджетных средств в доходах от образовательной деятельности,Доля доходов вуза  из бюджета субъекта РФ и местного бюджета,Доля доходов вуза  из внебюджетных источников,Доля доходов вуза  из федерального бюджета,Доля доходов вуза  от научных исследований и разработок в общих доходах вуза,Доля доходов вуза  от образовательной деятельности в общих доходах вуза,Доля доходов филиала  из бюджета субъекта РФ и местного бюджета,Доля доходов филиала  из внебюджетных источников,Доля доходов филиала  из федерального бюджета,Доля доходов филиала  от научных исследований и разработок в общих доходах филиала,Доля доходов филиала  от образовательной деятельности в общих доходах филиала,"Доля иностранных студентов в общей численности студентов, обучающихся по программам бакалавриата, специалитета, магистратуры","Доля научных работников, имеющих ученые степени","Доля обучающихся по программам бакалавриата в общей численности обучающихся по программам бакалавриата, специалитета, магистратуры","Доля обучающихся по программам бакалавриата, специалитета, магистратуры в очной форме","Доля обучающихся по программам магистратуры в общей численности обучающихся по программам бакалавриата, специалитета, магистратуры","Доля персональных компьютеров, имеющих доступ к Интернету","Доля студентов, не обеспеченных собственным общежитием, в числе студентов, нуждающихся в общежитии",Доходы вуза  из внебюджетных источников,Доходы вуза  из всех источников,Доходы вуза  от образовательной деятельности из иностранных источников,Доходы вуза из иностранных источников на выполнение НИОКР,Доходы филиала  из внебюджетных источников,Доходы филиала  из всех источников,Доходы филиала  от образовательной деятельности из иностранных источников,Доходы филиала из иностранных источников на выполнение НИОКР,Количество бизнес-инкубаторов,Количество малых предприятий,Количество персональных компьютеров,"Количество созданных результатов интеллектуальной деятельности, имеющих правовую охрану за пределами России",Количество технопарков,Количество центров коллективного пользования научным оборудованием,Наличие электронной библиотечной системы,Общая площадь зданий (помещений),Общая численность ППС (без внешних совместителей и работающих по договорам ГПХ),"Общая численность аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров",Общая численность докторантов,"Общая численность иностранных аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров","Общая численность иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры",Общая численность научных работников (без внешних совместителей и работающих по договорам ГПХ),"Общая численность обучающихся по очной форме обучения по программам бакалавриата, специалитета, магистратуры, реализуемым совместно с зарубежными вузами и ведущим к получению двух дипломов",Общая численность обучающихся по программам среднего профессионального образования,Общая численность работников образовательной организации (без внешних совместителей и работающих по договорам ГПХ),Общая численность слушателей программ дополнительного профессионального образования,"Общая численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры",Общее количество публикаций организации в расчете на 100 НПР,"Общее число образовательных программ высшего образования, реализуемых совместно с зарубежными вузами и ведущих к получению двух дипломов","Общий объем средств, поступивших (за отчетный год) от выполнения НИОКР, выполненных собственными силами","Общий объем средств, поступивших (за отчетный год) от выполнения работ, услуг, связанных с научными, научно-техническими, творческими услугами и разработками, выполненных собственными силами",Площадь крытых спортивных сооружений,Площадь общежитий,Площадь учебно-лабораторных зданий,"Площадь, предназначенная для научно-исследовательских подразделений","Средний балл ЕГЭ студентов, принятых на обучение по программам бакалавриата и специалитета, по всем формам обучения",Средняя заработная плата ППС (без внешних совместителей и работающих по договорам ГПХ),Средняя заработная плата научных работников (без внешних совместителей и работающих по договорам ГПХ),Число диссертационных советов,"Число предприятий, с которыми заключены договоры на подготовку специалистов","Число предприятий, являющихся базами практики, с которыми оформлены договорные отношения","Число статей, подготовленных совместно с зарубежными организациями"
"""Институт пищевых технологий и дизайна"" - филиал Государственного бюджетного образовательного учреждения высшего образования ""Нижегородский государственный инженерно-экономический университет""",Институт пищевых технологий и дизайна - филиал Государственного бюджетного образовательного учреждения Нижегородский государственный инженерно-экономический университет,8.11,81.08,83.78,0.0,0.0,13.55,,,,,,82.37,16.38,1.25,0.54,96.11,1.6,0.0,100.0,71.48,0.0,100.0,0.0,,,,,37664.7,229998.3,0.0,0.0,0,0,240,0,0,0,да,14079,37,0,0,0,13,0,0,1084,165,187,810,0.0,0,0.0,0.0,213,1795,12266,54,56.9,86.74,0.0,0,0,0,0
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""МЕЖДУНАРОДНАЯ ВЕТЕРИНАРНАЯ АКАДЕМИЯ""",АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ МЕЖДУНАРОДНАЯ ВЕТЕРИНАРНАЯ АКАДЕМИЯ,50.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,,,,,,0.0,0.0,0.0,100.0,0.0,100.0,0.0,11976.1,11976.1,0.0,0.0,,,,,0,0,17,0,0,0,да,1335,4,0,0,0,0,0,0,0,7,0,17,0.0,0,0.0,0.0,44,0,1335,0,67.8,10.98,0.0,0,0,0,0
"Автономная некоммерческая образовательная организации высшего образования ""Калининградский институт управления""",Автономная некоммерческая образовательная организации Калининградский институт управления,15.38,84.62,84.62,0.0,100.0,100.0,0.0,100.0,0.0,3.93,80.6,,,,,,6.9,100.0,100.0,34.48,0.0,93.66,0.0,35619.0,35619.0,0.0,0.0,,,,,0,0,142,0,0,0,да,1322,13,0,0,0,18,2,0,0,18,0,261,211.18,0,1400.0,1400.0,69,0,1322,36,64.3,78.4,20.0,0,0,34,4
"Автономная некоммерческая образовательная организация высшего образования ""Воронежский экономико-правовой институт""",Автономная некоммерческая образовательная организация Воронежский экономико-правовой институт,26.32,91.23,71.93,0.0,100.0,100.0,0.0,100.0,0.0,5.73,91.02,,,,,,1.97,100.0,82.06,27.02,14.47,100.0,0.0,225964.9,225964.9,0.0,0.0,,,,,0,0,531,0,0,0,да,15022,57,0,0,0,39,7,0,322,159,325,1984,87.14,0,12948.0,12948.0,347,0,15022,60,57.31,98.99,98.69,0,0,41,6
"Автономная некоммерческая образовательная организация высшего образования ""Европейский университет в Санкт-Петербурге""",Автономная некоммерческая образовательная организация Европейский университет в Санкт-Петербурге,14.89,82.98,93.62,100.0,100.0,99.83,0.0,99.86,0.14,12.1,84.45,,,,,,5.93,29.82,0.0,100.0,100.0,94.36,0.0,874389.7,875623.4,0.0,0.0,,,,,0,0,195,0,0,0,да,5435,47,110,0,2,16,57,0,0,212,156,270,527.78,0,0.0,0.0,0,0,3312,941,0.0,212.98,95.51,0,0,0,16
"Автономная некоммерческая образовательная организация высшего образования ""Международный институт компьютерных технологий""",Автономная некоммерческая образовательная организация Международный институт компьютерных технологий,27.59,75.86,86.21,0.0,100.0,29.64,0.0,37.59,62.41,6.22,72.84,,,,,,2.7,0.0,72.36,51.84,0.0,100.0,0.0,36159.2,96201.8,0.0,0.0,,,,,0,0,197,0,0,0,да,8463,29,0,0,0,22,0,0,59,69,39,814,82.37,0,5980.0,5980.0,368,3299,5164,577,52.16,86.95,0.0,0,0,0,0
"Автономная некоммерческая образовательная организация высшего образования ""Невский институт языка и культуры""",Автономная некоммерческая образовательная организация Невский институт языка и культуры,40.0,70.0,30.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,,,,,,0.0,0.0,100.0,64.29,0.0,100.0,0.0,9017.4,9017.4,0.0,0.0,,,,,0,0,83,0,0,0,да,457,10,0,0,0,0,0,0,0,22,35,56,0.0,0,0.0,0.0,50,0,457,0,64.36,9.56,0.0,0,0,0,0
"Автономная некоммерческая образовательная организация высшего образования ""Региональный финансово-экономический институт""",Автономная некоммерческая образовательная организация Региональный финансово-экономический институт,50.0,100.0,80.0,0.0,100.0,100.0,0.0,100.0,0.0,1.28,98.72,,,,,,3.01,0.0,100.0,0.0,0.0,100.0,0.0,11771.0,11771.0,0.0,0.0,,,,,0,0,63,0,0,0,да,9088,10,0,0,0,15,0,0,0,18,20,498,13.11,0,0.0,0.0,397,0,9088,187,0.0,26.06,0.0,0,0,39,0
"Автономная некоммерческая образовательная организация высшего образования ""Свято-Филаретовский институт""",Автономная некоммерческая образовательная организация Свято-Филаретовский институт,0.0,80.95,61.9,0.0,100.0,100.0,0.0,100.0,0.0,17.27,68.87,,,,,,2.08,0.0,89.58,23.44,10.42,100.0,0.0,57703.3,57703.3,0.0,0.0,,,,,0,0,76,0,0,0,да,1119,21,0,0,0,4,0,0,0,76,274,192,241.86,0,9968.2,9968.2,27,0,1119,16,77.2,63.66,0.0,0,0,0,0
"Автономная некоммерческая образовательная организация высшего образования ""Якутский гуманитарный институт""",Автономная некоммерческая образовательная организация Якутский гуманитарный институт,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,,,,,,0.0,0.0,100.0,0.0,0.0,96.61,0.0,210.0,210.0,0.0,0.0,,,,,0,0,59,0,0,0,да,3335,1,0,0,0,0,0,0,0,1,0,6,583.33,0,0.0,0.0,613,0,3335,0,0.0,5.5,0.0,0,0,0,0
Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,Автономная некоммерческая образовательная организация «Подольский социально-спортивный институт»,0.0,85.71,85.71,0.0,100.0,100.0,0.0,100.0,0.0,1.05,98.95,,,,,,7.35,100.0,100.0,45.59,0.0,100.0,0.0,10482.0,10482.0,0.0,0.0,,,,,0,0,23,0,0,0,да,380,7,0,0,0,5,1,0,0,17,8,68,144.44,0,110.0,110.0,65,0,380,48,56.98,39.48,15.75,0,0,0,0
Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,Автономная некоммерческая образовательная организация «Сибирский институт бизнеса и информационных технологий»,21.74,91.3,69.57,0.0,100.0,100.0,0.0,100.0,0.0,36.74,63.26,,,,,,15.83,100.0,99.02,4.82,0.98,100.0,0.0,242919.0,242919.0,0.0,0.0,,,,,0,0,191,0,0,0,да,6770,23,0,0,0,1113,2,0,0,89,116,7030,534.33,0,8094.0,8094.0,610,0,6770,0,53.43,84.59,77.01,0,0,113,0
Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,Автономная некоммерческая образовательная организация «Сколковский институт науки и технологий»,31.52,89.13,89.13,100.0,15.16,13.92,0.0,21.7,78.3,81.89,10.26,,,,,,21.98,24.95,0.0,100.0,100.0,100.0,0.0,1833397.2,8449450.7,0.0,34030.9,,,,,0,0,1209,6,0,7,да,151042,92,481,0,72,122,473,0,0,1094,522,555,224.06,0,3635405.7,4067084.9,149,0,151042,55651,0.0,722.26,234.87,7,0,0,582
"Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""",Автономная некоммерческая образовательная организация Центросоюза Российской Федерации Российский университет кооперации,0.0,67.86,92.86,96.51,100.0,98.41,0.0,98.84,1.16,5.24,72.78,,,,,,5.72,0.0,72.31,40.5,4.77,100.0,0.0,579338.2,586109.0,13735.9,0.0,,,,,0,0,747,0,0,0,да,42381,56,86,5,0,150,0,0,1628,195,819,2622,3518.4,0,30700.0,30700.0,638,0,25845,53,57.7,122.75,0.0,2,0,77,44
Автономная некоммерческая организация  высшего  образования «Международная академия бизнеса и управления»,Автономная некоммерческая организация  высшего  образования «Международная академия бизнеса и управления»,13.73,74.51,68.63,0.0,100.0,100.0,0.0,91.16,8.84,6.39,76.71,,,,,,4.29,0.0,85.54,32.41,3.93,100.0,0.0,129969.0,142569.0,0.0,0.0,,,,,0,0,248,0,0,0,да,10095,51,0,0,0,48,0,0,0,85,0,1120,62.06,0,9110.0,9110.0,316,0,10095,0,65.6,208.66,0.0,0,0,0,1
"Автономная некоммерческая организация ""Образовательная организация высшего образования ""Институт театрального искусства""","Автономная некоммерческая организация Образовательная организация Институт театрального искусства""",20.0,83.33,13.33,0.0,100.0,100.0,0.0,100.0,0.0,1.2,94.91,,,,,,4.47,0.0,3.66,80.69,0.0,100.0,100.0,111763.0,111763.0,0.0,0.0,,,,,0,0,53,0,0,0,да,4049,30,0,0,0,22,0,0,0,52,14,492,10.7,0,1339.2,1339.2,203,0,3061,640,70.37,50.5,0.0,0,0,0,0
"Автономная некоммерческая организация ""Образовательная организация высшего образования"" ""Университет экономики и управления""",Автономная некоммерческая организация Образовательная организация высшего образования Университет экономики и управления,24.14,82.76,48.28,0.0,100.0,100.0,0.0,83.64,16.36,0.05,83.59,,,,,,0.08,0.0,92.25,33.17,7.75,84.46,100.0,64921.0,77621.0,0.0,0.0,,,,,0,0,296,0,0,0,да,6799,29,0,0,0,1,0,0,0,69,0,1200,93.69,0,40.0,40.0,848,0,6799,0,50.79,38.83,0.0,0,41,18,0
"Автономная некоммерческая организация Высшего Образования ""Институт деловой карьеры""",Автономная некоммерческая организация Высшего Образования Институт деловой карьеры,15.52,81.03,81.03,0.0,100.0,100.0,0.0,100.0,0.0,1.17,98.83,,,,,,4.8,0.0,96.27,5.4,3.73,100.0,0.0,808991.0,808991.0,0.0,0.0,,,,,0,0,200,0,0,0,да,4931,58,0,0,0,409,0,0,0,138,0,8519,547.85,0,9485.0,9485.0,760,0,4931,80,54.64,220.87,0.0,0,0,0,6
"Автономная некоммерческая организация высшего образования ""Академия социального образования""",Автономная некоммерческая организация Академия социального образования,27.78,94.44,83.33,0.0,100.0,100.0,0.0,100.0,0.0,6.08,93.92,,,,,,17.51,0.0,94.95,35.56,5.05,100.0,0.0,67769.0,67769.0,0.0,0.0,,,,,0,0,258,0,0,0,да,8947,36,0,0,0,97,0,0,136,44,57,554,901.54,0,4120.0,4120.0,248,0,8947,333,65.26,57.0,0.0,0,0,0,0
"Автономная некоммерческая организация высшего образования ""Белгородский университет кооперации, экономики и права""","Автономная некоммерческая организация Белгородский университет кооперации, экономики и права",8.42,84.21,95.79,92.06,82.83,97.17,0.41,96.47,3.12,4.98,70.37,,,,,,3.55,50.0,71.29,46.66,13.98,100.0,0.0,384887.6,398965.9,24688.8,1178.7,,,,,1,1,1121,0,0,0,да,43891,95,126,0,17,101,4,17,1507,294,1083,2846,602.19,4,19851.7,19851.7,765,17373,24315,215,53.59,82.94,82.97,0,52,535,12
"Автономная некоммерческая организация высшего образования ""Волгоградский гуманитарный институт""",Автономная некоммерческая организация Волгоградский гуманитарный институт,0.0,92.31,84.62,0.0,100.0,100.0,0.0,100.0,0.0,17.12,82.88,,,,,,4.07,0.0,100.0,13.01,0.0,100.0,0.0,4603.0,4603.0,0.0,0.0,,,,,0,0,55,0,0,0,да,3996,13,0,0,0,5,0,0,0,20,176,123,352.94,0,788.0,788.0,1148,0,3996,81,65.54,45.06,0.0,0,0,47,0
"Автономная некоммерческая организация высшего образования ""Волгоградский институт бизнеса""",Автономная некоммерческая организация Волгоградский институт бизнеса,12.5,81.25,81.25,0.0,100.0,100.0,0.0,100.0,0.0,5.05,70.43,,,,,,2.16,0.0,99.49,0.0,0.51,100.0,0.0,55360.1,55360.1,430.8,0.0,,,,,0,0,247,0,0,0,да,3318,16,0,0,0,21,0,0,0,43,0,974,226.84,0,2794.0,2794.0,287,0,3318,66,48.47,48.84,0.0,0,0,283,0
